drop,participant,session,mriMode,isPractice,runFilename,contextRole,contextId,cueId,isSick,corrButton,response.keys,response.rt,response.corr,restaurant,food,isTrain,roundId,trialId,expStartWallTime,actualChoiceOnset,actualChoiceOffset,actualIsiOnset,actualIsiOffset,actualFeedbackOnset,actualFeedbackOffset,actualItiOnset,actualItiOffset,actualItiDuration,itiDriftAdjustment,stimOnset,stimOffset,itiDuration,itiOffset
0,con001,001,scan,0,itis/csv/con001_run1_itis.csv,modulatory,0,0,Yes,left,left,1.51084399223,1,El Coyote Cafe,mexican_food1.png,1,2,11,Sun Oct 30 13:56:11 2016,75.9693710804,77.5463969707,77.5467278957,78.5796089172,78.5799670219,79.5802009106,79.5804109573,85.9792211056,6.45372891426,-0.0354270935059,76.0,81.0,5.0,86.0
0,con001,001,scan,0,itis/csv/con001_run1_itis.csv,modulatory,0,0,Yes,left,left,1.9411740303,1,El Coyote Cafe,mexican_food1.png,1,2,12,Sun Oct 30 13:56:11 2016,85.9829249382,87.993350029,87.9936859608,89.0264151096,89.0267519951,90.0269639492,90.0271530151,93.9595770836,4.00677394867,-0.0520520210266,86.0,91.0,3.0,94.0
0,con001,001,scan,0,itis/csv/con001_run1_itis.csv,modulatory,1,1,Yes,left,left,2.91390991211,1,Restaurante Arroyo,mexican_food0.png,1,2,13,Sun Oct 30 13:56:11 2016,93.9632821083,96.9407179356,96.9410500526,97.9738619328,97.9741959572,98.9744079113,98.9745979309,99.9741470814,1.05940699577,-0.0266830921173,94.0,99.0,1.0,100.0
0,con001,001,scan,0,itis/csv/con001_run1_itis.csv,modulatory,0,1,No,right,right,2.25439810753,1,El Coyote Cafe,mexican_food0.png,1,2,14,Sun Oct 30 13:56:11 2016,99.9778819084,102.305893898,102.306231022,103.389023066,103.389360905,104.389576912,104.389770031,105.956950903,1.69422507286,-0.0513768196106,100.0,105.0,1.0,106.0
0,con001,001,scan,0,itis/csv/con001_run1_itis.csv,modulatory,0,1,No,right,right,1.5786819458,1,El Coyote Cafe,mexican_food0.png,1,2,15,Sun Oct 30 13:56:11 2016,105.960603952,107.604291916,107.604623079,108.637424946,108.637766123,109.637978077,109.638166904,113.970768929,4.39584302902,-0.025475025177,106.0,111.0,3.0,114.0
0,con001,001,scan,0,itis/csv/con001_run1_itis.csv,modulatory,1,1,Yes,left,left,2.01489591599,1,Restaurante Arroyo,mexican_food0.png,1,2,16,Sun Oct 30 13:56:11 2016,113.974438906,116.051971912,116.052302122,117.084995985,117.08535099,118.085582972,118.085788965,125.967844963,7.94815087318,-0.0369532108307,114.0,119.0,7.0,126.0
0,con001,001,scan,0,itis/csv/con001_run1_itis.csv,modulatory,1,0,No,right,right,1.57674908638,1,Restaurante Arroyo,mexican_food1.png,1,2,17,Sun Oct 30 13:56:11 2016,125.971544027,127.615119934,127.615446091,128.648391962,128.64874506,129.648983002,129.649188995,131.965455055,2.38500404358,-0.0382468700409,126.0,131.0,1.0,132.0
0,con001,001,scan,0,itis/csv/con001_run1_itis.csv,modulatory,1,0,No,right,right,1.68326401711,1,Restaurante Arroyo,mexican_food1.png,1,2,18,Sun Oct 30 13:56:11 2016,131.968338013,133.713334084,133.713670015,134.746490955,134.746824026,135.74703908,135.747230053,137.96470809,2.28678393364,-0.0299520492554,132.0,137.0,1.0,138.0
0,con001,001,scan,0,itis/csv/con001_run1_itis.csv,modulatory,0,1,No,right,right,1.80281186104,1,El Coyote Cafe,mexican_food0.png,1,2,19,Sun Oct 30 13:56:11 2016,137.968858004,139.84506011,139.845384121,140.878112078,140.878443956,141.878654957,141.878843069,147.960804939,6.15506505966,-0.0421230792999,138.0,143.0,5.0,148.0
0,con001,001,scan,0,itis/csv/con001_run1_itis.csv,modulatory,1,0,No,right,right,2.40150284767,1,Restaurante Arroyo,mexican_food1.png,1,2,20,Sun Oct 30 13:56:11 2016,147.964540005,150.42521596,150.425547123,151.458297014,151.458647966,152.458878994,152.459088087,153.975486994,1.57491087914,-0.0235862731934,148.0,153.0,1.0,154.0
0,con001,001,scan,0,itis/csv/con001_run1_itis.csv,modulatory,2,2,No,None,right,2.57370185852,0,Molina's Cantina,mexican_food2.png,0,2,1,Sun Oct 30 13:56:11 2016,157.984250069,160.638972044,160.639362097,163.98794508,163.9883039,163.988532066,163.988739967,170.022313118,5.97329902649,-0.0267009735107,158.0,164.0,6.0,170.0
0,con001,001,scan,0,itis/csv/con001_run1_itis.csv,modulatory,0,2,No,None,right,2.7799270153,0,El Coyote Cafe,mexican_food2.png,0,2,2,Sun Oct 30 13:56:11 2016,170.02638793,172.86856699,172.868932009,176.034476042,176.034800053,176.035017967,176.035213947,178.018559933,1.93532896042,-0.0646710395813,170.0,176.0,2.0,178.0
0,con001,001,scan,0,itis/csv/con001_run1_itis.csv,modulatory,2,0,No,None,left,3.88552999496,0,Molina's Cantina,mexican_food1.png,0,2,3,Sun Oct 30 13:56:11 2016,178.022299051,181.965927124,181.966309071,184.032155037,184.032481909,184.032699108,184.032896042,188.032014132,3.94488191605,-0.0551180839539,178.0,184.0,4.0,188.0
0,con001,001,scan,0,itis/csv/con001_run1_itis.csv,modulatory,0,0,No,None,left,2.41382098198,0,El Coyote Cafe,mexican_food1.png,0,2,4,Sun Oct 30 13:56:11 2016,188.035784006,190.513372898,190.513740063,194.045874119,194.046196938,194.046406031,194.046595097,194.080190897,0,-0.0751440525055,188.0,194.0,0.0,194.0
0,con001,001,scan,0,itis/csv/con001_run2_itis.csv,additive,0,0,Yes,left,right,2.01505112648,0,Dave's Sandwiches,fast_food0.png,1,3,1,Sun Oct 30 13:56:11 2016,11.0193331242,13.1214981079,13.1219351292,14.1545751095,14.1550400257,15.1553590298,15.1557950974,15.939065218,0.878623008728,-1.10632586479,10.0,15.0,1.0,16.0
0,con001,001,scan,0,itis/csv/con001_run2_itis.csv,additive,1,0,No,right,right,2.29487895966,1,Burger Masters,fast_food0.png,1,3,2,Sun Oct 30 13:56:11 2016,15.9433171749,18.3032701015,18.3036110401,19.3363480568,19.3366851807,20.3369021416,20.3370962143,21.9700942039,1.696849823,-0.00827121734619,16.0,21.0,1.0,22.0
